"","Hub","ID","Animal.Sex","Animal.Length..m.","Date","Date.Time"
"6365","aquaHub-660298","9001-52031","Male",1.6,2025-09-19,"2025-09-19 23:48:00"
"6366","aquaHub-660273","9001-52022","Male",1.6,2025-09-19,"2025-09-19 23:49:00"
"6367","aquaHub-660273","9001-52022","Male",1.6,2025-09-19,"2025-09-19 23:51:00"
"6368","aquaHub-660298","9001-52039","Male",170,2025-09-19,"2025-09-19 23:52:00"
"6369","aquaHub-660143","9001-52029","Male",1.5,2025-09-20,"2025-09-20"
"6370","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 00:14:00"
"6371","aquaHub-660298","9001-52031","Male",1.6,2025-09-20,"2025-09-20 00:25:00"
"6372","aquaHub-660298","9001-52031","Male",1.6,2025-09-20,"2025-09-20 00:27:00"
"6373","aquaHub-660298","9001-52031","Male",1.6,2025-09-20,"2025-09-20 00:30:00"
"6374","aquaHub-660298","9001-52031","Male",1.6,2025-09-20,"2025-09-20 00:32:00"
"6375","aquaHub-660298","9001-52031","Male",1.6,2025-09-20,"2025-09-20 00:34:00"
"6376","aquaHub-660298","9001-52031","Male",1.6,2025-09-20,"2025-09-20 00:36:00"
"6377","aquaHub-660298","9001-52031","Male",1.6,2025-09-20,"2025-09-20 00:37:00"
"6378","aquaHub-660298","9001-52031","Male",1.6,2025-09-20,"2025-09-20 00:39:00"
"6379","aquaHub-660298","9001-52031","Male",1.6,2025-09-20,"2025-09-20 00:41:00"
"6380","aquaHub-660298","9001-52031","Male",1.6,2025-09-20,"2025-09-20 00:43:00"
"6381","aquaHub-660298","9001-52031","Male",1.6,2025-09-20,"2025-09-20 00:44:00"
"6382","aquaHub-660298","9001-52031","Male",1.6,2025-09-20,"2025-09-20 00:49:00"
"6383","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 00:49:00"
"6384","aquaHub-660298","9001-52031","Male",1.6,2025-09-20,"2025-09-20 00:51:00"
"6385","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 00:54:00"
"6386","aquaHub-660298","9001-52031","Male",1.6,2025-09-20,"2025-09-20 00:56:00"
"6387","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 00:58:00"
"6388","aquaHub-660298","9001-52031","Male",1.6,2025-09-20,"2025-09-20 00:58:00"
"6389","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 00:59:00"
"6390","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 01:01:00"
"6391","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 01:02:00"
"6392","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 01:02:00"
"6393","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 01:04:00"
"6394","aquaHub-660298","9001-52031","Male",1.6,2025-09-20,"2025-09-20 01:06:00"
"6395","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 01:07:00"
"6396","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 01:07:00"
"6397","aquaHub-660298","9001-52031","Male",1.6,2025-09-20,"2025-09-20 01:08:00"
"6398","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 01:09:00"
"6399","aquaHub-660298","9001-52031","Male",1.6,2025-09-20,"2025-09-20 01:10:00"
"6400","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 01:11:00"
"6401","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 01:11:00"
"6402","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 01:12:00"
"6403","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 01:14:00"
"6404","aquaHub-660298","9001-52031","Male",1.6,2025-09-20,"2025-09-20 01:15:00"
"6405","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 01:17:00"
"6406","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 01:19:00"
"6407","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 01:20:00"
"6408","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 01:21:00"
"6409","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 01:24:00"
"6410","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 01:26:00"
"6411","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 01:28:00"
"6412","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 01:29:00"
"6413","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 01:32:00"
"6414","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 01:32:00"
